Date,Open,High,Low,Close,Volume,"Daily Change %"
10-Aug-2018,465.4,470.6,463.2,467.1,1795089,0.37
10-Aug-2018,470.25,473.75,462.2,465.65,3368794,-0.98
10-Aug-2018,471.4,473.5,465.4,469.9,1255925,-0.32
10-Aug-2018,465,471.8,460.8,469.7,1400660,1.01
10-Aug-2018,476,484,466,468.65,1442119,-1.54
10-Aug-2018,480,485.25,477.45,481.4,1586512,0.29
10-Aug-2018,488,494.9,481.5,483.65,1336551,-0.89
10-Aug-2018,488,495,484.7,486.75,1233813,-0.26
10-Aug-2018,488.25,490.55,479,487.15,1258527,-0.23
10-Aug-2018,484.2,492.9,481.9,488.5,2754723,0.89
10-Aug-2018,473.3,478.45,469,474.05,2058634,0.16
10-Aug-2018,475,486.8,472.2,481.2,1970093,1.31
10-Aug-2018,474.35,475,467.65,473.5,1634891,-0.18
10-Aug-2018,465.05,477.9,462,473.45,1812454,1.81
10-Aug-2018,487.5,487.9,466.2,469.75,3307502,-3.64
10-Aug-2018,505,507,485.95,488.1,2295824,-3.35
10-Aug-2018,488.7,495,487.2,491.55,1006546,0.58
10-Aug-2018,490,504.5,488.55,500.6,1989140,2.16
10-Aug-2018,494.5,496.9,486.5,488,1203138,-1.31
10-Aug-2018,602.8,626.2,597,612.65,7244068,1.63
10-Aug-2018,600,611.25,593.2,602.95,6290644,0.49
10-Aug-2018,599.05,608.7,595.45,604.8,3352495,0.96
10-Aug-2018,584.15,612.45,584.15,603.15,6672393,3.25
10-Aug-2018,604.5,613.45,588.1,598.45,5104213,-1.00
10-Aug-2018,569.15,590.7,564.2,588.25,4103152,3.36
10-Aug-2018,550,572.4,549.7,569.5,4127554,3.55
10-Aug-2018,553,558.5,547.05,552.9,1951962,-0.02
10-Aug-2018,559.95,564.55,553.15,554.9,1636201,-0.90
10-Aug-2018,560,560,550.25,552.65,2158972,-1.31
10-Aug-2018,550.95,554.9,542.35,543.75,1959669,-1.31
10-Aug-2018,548,563,547.3,557.65,4791310,1.76
10-Aug-2018,550,554.5,548,550.75,2790912,0.14
10-Aug-2018,544,555.85,542.7,551.7,3485390,1.42
10-Aug-2018,535,544,533.8,542.1,2748547,1.33
10-Aug-2018,540,540,529,533.85,1855191,-1.14
10-Aug-2018,520.7,542.85,520.7,536.3,2795379,3.00
10-Aug-2018,521,527,514.85,525.45,1756809,0.85
10-Aug-2018,519.5,525,514,522.55,1460097,0.59
10-Aug-2018,516.1,525,515.7,519.45,2288877,0.65
10-Aug-2018,503.5,515,503.5,513.95,2204383,2.08
10-Aug-2018,501.1,508.7,500.05,503.1,1115837,0.40
10-Aug-2018,612.05,615.9,605.55,611.9,2226114,-0.02
10-Aug-2018,612.55,619.5,607.05,611.05,2479739,-0.24
10-Aug-2018,604.3,622.5,599.05,619.45,3994302,2.51
10-Aug-2018,609.9,631.2,609.4,629.05,3500770,3.14
10-Aug-2018,601,621.2,601,606.7,3104038,0.95
10-Aug-2018,611.8,617.3,596.95,603.1,3653165,-1.42
10-Aug-2018,610,622,594.95,608.25,2894969,-0.29
10-Aug-2018,601,603,589.4,595.25,3481551,-0.96
10-Aug-2018,598,604.9,586.15,590.35,2343988,-1.28
10-Aug-2018,588.5,614.6,588.5,611.5,5004415,3.91
10-Aug-2018,615,618.6,604,605.65,1676641,-1.52
10-Aug-2018,610,613.7,581.2,584.35,2887255,-4.20
10-Aug-2018,588.75,588.75,563.65,572.45,3170119,-2.77
10-Aug-2018,575,582.2,569,574.2,2273116,-0.14
10-Aug-2018,581.05,598,566.55,595.2,5590807,2.44
10-Aug-2018,592,606.45,592,602.6,4421727,1.79
10-Aug-2018,607,624.95,605,621.45,3490526,2.38
10-Aug-2018,622,627.45,611.05,612.45,2923731,-1.54
10-Aug-2018,618,618.3,602.45,610.55,1905663,-1.21
10-Aug-2018,610.2,615,603.85,612.65,2113430,0.40
10-Aug-2018,608.5,634.9,606.55,630.85,4765322,3.67
10-Aug-2018,631.9,633.9,615,617.25,2424505,-2.32
10-Aug-2018,619.8,626.45,606.55,609.05,1787149,-1.73
10-Aug-2018,615,616.75,603,607.2,1858046,-1.27
10-Aug-2018,609.7,623.1,606.5,619.2,2095483,1.56
10-Aug-2018,621.15,636.4,616.7,619.55,4336200,-0.26
10-Aug-2018,620,624.95,613.6,619.15,2306960,-0.14
10-Aug-2018,617.5,640.75,617.5,639.1,3825750,3.50
10-Aug-2018,641.7,651.95,627.05,631.85,5855371,-1.53
10-Aug-2018,634.7,639,627,634.7,3741772,0.00
10-Aug-2018,634.85,637.4,608,609.9,1731324,-3.93
10-Aug-2018,605,635.3,603.1,633.4,3320421,4.69
10-Aug-2018,635,636.85,621.25,625.85,2428150,-1.44
10-Aug-2018,627,631,616.5,619.05,1785067,-1.27
10-Aug-2018,607.5,625,604.75,623.35,3153066,2.61
10-Aug-2018,623,628.6,617,620.4,1552991,-0.42
10-Aug-2018,625,629.6,619,621.65,1135697,-0.54
10-Aug-2018,621.2,641,616.65,638.7,5534298,2.82
10-Aug-2018,638.7,646.5,634.1,640.3,2095519,0.25
10-Aug-2018,636.5,638,613.5,615.95,3851192,-3.23
10-Aug-2018,618,622,603.25,606.3,2670676,-1.89
10-Aug-2018,616.2,620.75,604.55,617.35,2809480,0.19
10-Aug-2018,616,622,613.8,618.2,1160620,0.36
10-Aug-2018,621,622.5,613.25,614.85,1427650,-0.99
10-Aug-2018,620.9,629.5,611.5,626.45,2085181,0.89
10-Aug-2018,626.05,636.8,620.65,633.35,2139871,1.17
10-Aug-2018,636.4,655,634.05,652.8,3614281,2.58
10-Aug-2018,652.55,673.85,641.1,671.55,5653116,2.91
10-Aug-2018,658.1,682.8,657.5,668.7,3931095,1.61
10-Aug-2018,671,672.5,661.65,668.3,1576573,-0.40
10-Aug-2018,668.95,674,654.2,656.8,1676060,-1.82
10-Aug-2018,662.95,669.25,655.95,665.2,2662071,0.34
10-Aug-2018,667,706,667,700.5,5490181,5.02
10-Aug-2018,694.55,729.5,690.6,702,6998046,1.07
